2 Cat.;4 Cat.;6 Cat.;8 Cat.;10 Cat.;15 Cat.;25 Cat.
0.13;0.2;1.32;2.1;2.68;10.21;19.33
0.04;0.42;0.67;1.13;2.11;5.01;13.97
0.1;0.2;1.53;1.33;1.35;2.22;25.15
0.05;0.51;0.51;2.91;2.12;10.98;4.34
0.06;0.23;0.89;2.43;1.66;4.71;6.18
0.01;0.43;0.48;1.63;1.92;6.95;21.97
0.06;0.32;0.88;2.09;2.79;9.51;20.53
0.09;0.3;0.95;1.76;3.61;4.9;25.45
0.14;0.64;1.2;1.1;3.26;2.31;19.35
0.02;0.36;1.33;1.7;2.18;4.77;9.25
0.07;0.24;0.48;3.12;3.42;4.59;24.15
0.15;0.53;0.86;2.32;0.86;5.31;9.1
0.1;0.39;0.53;1.08;3.32;4.01;4.76
0.1;0.3;1.65;2.69;2.14;7.04;26.91
0.08;0.12;0.74;1.52;3.83;4.21;25.9
0.06;0.42;1.32;1.27;1.72;7.9;9.75
0.06;0.39;0.92;1.07;1.54;8.1;21.75
0.11;0.48;0.89;1.62;3.48;8.58;10.46
0.08;0.31;0.89;2.3;2.79;8.95;8.88
0.1;0.76;1.19;1.54;2.15;8.57;12.83
0.06;0.13;0.9;2.21;2.08;5;12.8
0.11;0.25;0.77;1.61;1.01;6.47;12.11
0.07;0.35;0.8;0.86;2.29;5.85;9.81
0.08;0.61;0.68;2.22;2.85;3.97;16.72
0.08;0.43;0.53;1.73;2.9;8.56;25.99
0.1;0.3;1.14;1.56;1.09;1.45;9.25
0.03;0.46;0.67;0.87;3.35;3.88;14.81
0.09;0.58;0.55;0.83;1.8;3.81;24.86
0.06;0.18;0.76;2.17;4.15;5.93;19.72
0.06;0.36;0.83;2.09;1.93;6.03;12.54
0.09;0.43;1.02;1;2.62;5.06;6.52
0.04;0.14;0.53;1.31;2.11;8.68;12.99
0.09;0.16;0.96;1.68;2.77;3.82;19.18
0.08;0.13;0.86;1.77;2.91;5.51;14.47
0.05;0.41;0.8;1.51;2.88;4.21;10.63
0.05;0.31;0.72;1.42;1.96;6.01;6.25
0.07;0.17;0.53;1.38;3.01;5.31;24.41
0.1;0.57;1.03;2.07;1.55;3.37;28.6
0.1;0.49;0.87;1.79;3.13;6.66;16.25
0.06;0.37;0.75;0.42;0.31;2.98;14.68
0.11;0.46;0.18;2.42;3.07;6.7;21.81
0.09;0.4;0.99;1.36;1.38;1.93;10.39
0.07;0.41;0.61;2.43;2.45;8.95;13.26
0.05;0.35;1.4;1.69;3.84;2.56;10.99
0.07;0.42;1.71;1.64;4.23;7.66;26.14
0.08;0.35;1;1.4;1.52;3.67;30.73
0.07;0.47;0.79;2.18;2.67;3.46;10.79
0.05;0.63;0.91;2.03;3.38;4.46;14.59
0.06;0.44;1.1;2.66;2.66;6.25;22.38
0.04;0.31;1.51;0.49;2.8;6.14;20.69
0.05;0.69;1.14;0.83;1.42;5.17;14.11
0.08;0.35;0.56;1.22;2.3;6.41;20.65
0.09;0.24;0.58;0.94;3.23;5.61;18.79
0.09;0.3;0.81;1.24;3.39;8.48;14.1
0.07;0.38;0.85;1.08;3.15;10.74;20.98
0.06;0.46;0.89;1.64;2.82;10.66;12.98
0.05;0.41;1.45;1.37;2.18;5.39;4.6
0.08;0.31;0.33;2.16;1.75;9.92;14.79
0.09;0.31;0.98;1.06;3.28;6.75;10.84
0.1;0.21;0.56;3.38;1.86;7.06;17.88
0.06;0.46;0.4;1.38;2.55;6.49;15.89
0.09;0.31;0.78;1.03;3.71;3.87;17.62
0.07;0.36;1.38;1.85;3.53;2.81;5.04
0.06;0.42;0.46;1.3;2.8;10.45;19.71
0.07;0.2;0.73;1.73;1.62;4.97;10.65
0.08;0.27;0.78;1.9;1.65;6.01;20.29
0.07;0.43;0.6;1.69;0.46;4.66;22.91
0.08;0.17;0.51;1.4;2.98;7.95;11.23
